                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.6775,                0.85105,                 1.0577,                0.79873,                0.60845,                 0.6524,                0.31489,                  1.662,                0.80428,                 1.0591,               0.006601,               0.006601,               0.006601
                    105,                 1.6819,                0.85358,                 1.0546,                0.79919,                0.60902,                0.65331,                0.31521,                 1.6615,                0.80385,                  1.059,               0.006568,               0.006568,               0.006568
                    106,                 1.6724,                0.85133,                 1.0558,                0.79802,                0.60943,                0.65377,                0.31558,                 1.6612,                0.80325,                 1.0585,               0.006535,               0.006535,               0.006535
                    107,                 1.6833,                0.85715,                 1.0548,                0.79795,                0.60901,                0.65377,                0.31557,                 1.6606,                0.80262,                 1.0583,               0.006502,               0.006502,               0.006502
                    108,                 1.6738,                  0.854,                 1.0537,                0.79726,                0.60928,                0.65431,                0.31591,                 1.6601,                0.80221,                 1.0578,               0.006469,               0.006469,               0.006469
                    109,                 1.6721,                0.84626,                   1.05,                0.79775,                 0.6092,                0.65471,                0.31622,                 1.6597,                0.80128,                 1.0574,               0.006436,               0.006436,               0.006436
                    110,                 1.6691,                0.84446,                 1.0483,                0.79843,                0.60911,                0.65462,                0.31635,                 1.6592,                0.80056,                 1.0571,               0.006403,               0.006403,               0.006403
                    111,                 1.6762,                0.84864,                 1.0518,                0.79835,                0.60989,                0.65552,                0.31686,                 1.6587,                0.79971,                 1.0566,                0.00637,                0.00637,                0.00637
                    112,                 1.6623,                0.84176,                 1.0517,                0.79722,                0.61106,                0.65569,                0.31705,                 1.6582,                0.79909,                 1.0562,               0.006337,               0.006337,               0.006337
                    113,                 1.6704,                0.84317,                 1.0517,                0.79747,                0.61145,                0.65576,                0.31671,                 1.6576,                0.79808,                 1.0557,               0.006304,               0.006304,               0.006304
                    114,                 1.6672,                0.85007,                 1.0535,                0.79714,                0.61168,                0.65571,                0.31704,                 1.6562,                0.79708,                 1.0551,               0.006271,               0.006271,               0.006271
                    115,                 1.6669,                0.84326,                 1.0468,                0.79646,                0.61282,                0.65541,                0.31725,                 1.6559,                0.79678,                 1.0547,               0.006238,               0.006238,               0.006238
                    116,                 1.6696,                0.84326,                 1.0507,                0.79605,                0.61281,                 0.6556,                0.31751,                 1.6554,                0.79572,                 1.0543,               0.006205,               0.006205,               0.006205
                    117,                 1.6611,                0.84002,                  1.048,                0.79672,                0.61285,                0.65617,                0.31778,                 1.6548,                0.79512,                 1.0538,               0.006172,               0.006172,               0.006172
                    118,                 1.6593,                0.84006,                 1.0445,                 0.7962,                0.61329,                0.65654,                0.31808,                 1.6542,                0.79447,                 1.0533,               0.006139,               0.006139,               0.006139
                    119,                 1.6618,                0.83976,                 1.0493,                 0.7961,                0.61374,                0.65686,                0.31817,                 1.6535,                0.79373,                  1.053,               0.006106,               0.006106,               0.006106
                    120,                  1.657,                0.83676,                 1.0489,                0.79778,                0.61261,                0.65723,                0.31847,                 1.6527,                0.79333,                 1.0526,               0.006073,               0.006073,               0.006073
                    121,                 1.6579,                0.83828,                 1.0442,                0.79846,                0.61212,                0.65679,                 0.3186,                 1.6524,                0.79259,                 1.0522,                0.00604,                0.00604,                0.00604
                    122,                 1.6551,                0.83678,                 1.0456,                0.79916,                0.61319,                0.65718,                0.31856,                  1.652,                0.79198,                 1.0518,               0.006007,               0.006007,               0.006007
                    123,                 1.6511,                0.83358,                 1.0448,                0.79886,                0.61322,                0.65719,                0.31878,                 1.6522,                0.79134,                 1.0516,               0.005974,               0.005974,               0.005974
                    124,                 1.6525,                0.83185,                 1.0432,                0.80029,                0.61315,                0.65763,                0.31902,                 1.6515,                  0.791,                 1.0511,               0.005941,               0.005941,               0.005941
                    125,                 1.6493,                0.82787,                 1.0433,                0.80004,                0.61321,                0.65799,                0.31916,                 1.6508,                0.78972,                 1.0508,               0.005908,               0.005908,               0.005908
                    126,                 1.6526,                0.83631,                 1.0448,                 0.8007,                 0.6131,                0.65877,                0.31952,                 1.6503,                0.78912,                 1.0505,               0.005875,               0.005875,               0.005875
                    127,                 1.6518,                0.83278,                 1.0405,                0.80135,                0.61277,                0.65897,                0.31981,                 1.6496,                0.78825,                 1.0501,               0.005842,               0.005842,               0.005842
                    128,                 1.6515,                0.82984,                 1.0425,                0.80154,                0.61322,                0.65918,                0.31999,                 1.6494,                  0.788,                 1.0499,               0.005809,               0.005809,               0.005809
                    129,                 1.6492,                0.82951,                 1.0405,                0.80118,                0.61325,                0.65946,                0.32027,                 1.6491,                 0.7876,                 1.0497,               0.005776,               0.005776,               0.005776
                    130,                 1.6509,                0.82912,                 1.0428,                0.80066,                0.61428,                0.65998,                0.32042,                 1.6484,                 0.7867,                 1.0492,               0.005743,               0.005743,               0.005743
                    131,                 1.6487,                0.82801,                 1.0419,                 0.8036,                0.61427,                0.66074,                0.32064,                 1.6478,                0.78642,                 1.0488,                0.00571,                0.00571,                0.00571
                    132,                 1.6473,                0.82945,                 1.0397,                 0.8022,                0.61514,                0.66084,                 0.3209,                  1.647,                0.78543,                 1.0484,               0.005677,               0.005677,               0.005677
                    133,                 1.6456,                0.82423,                 1.0403,                0.80072,                0.61576,                0.66075,                0.32078,                 1.6464,                0.78465,                  1.048,               0.005644,               0.005644,               0.005644
                    134,                 1.6499,                0.82888,                 1.0415,                0.80053,                0.61608,                 0.6615,                0.32095,                 1.6459,                0.78408,                 1.0478,               0.005611,               0.005611,               0.005611
                    135,                 1.6467,                0.82823,                 1.0404,                0.80176,                0.61684,                0.66207,                0.32138,                 1.6455,                0.78368,                 1.0476,               0.005578,               0.005578,               0.005578
                    136,                 1.6442,                0.82398,                 1.0382,                0.80188,                0.61764,                0.66249,                0.32142,                  1.645,                 0.7829,                 1.0471,               0.005545,               0.005545,               0.005545
                    137,                 1.6458,                 0.8241,                  1.038,                0.80259,                0.61719,                0.66259,                0.32178,                 1.6447,                0.78258,                 1.0468,               0.005512,               0.005512,               0.005512
                    138,                 1.6443,                0.82548,                 1.0374,                0.80322,                0.61743,                 0.6631,                0.32203,                 1.6445,                0.78201,                 1.0465,               0.005479,               0.005479,               0.005479
                    139,                 1.6414,                0.82077,                 1.0359,                 0.8019,                0.61857,                0.66358,                0.32237,                 1.6442,                0.78131,                 1.0461,               0.005446,               0.005446,               0.005446
                    140,                 1.6335,                0.81727,                 1.0381,                0.80311,                0.61837,                0.66436,                0.32259,                 1.6433,                0.78119,                 1.0457,               0.005413,               0.005413,               0.005413
                    141,                 1.6369,                0.81941,                  1.035,                0.80383,                0.61879,                0.66474,                0.32283,                 1.6427,                 0.7803,                 1.0454,                0.00538,                0.00538,                0.00538
                    142,                 1.6294,                0.81553,                 1.0362,                0.80236,                  0.619,                0.66456,                0.32315,                 1.6415,                0.77959,                  1.045,               0.005347,               0.005347,               0.005347
                    143,                 1.6302,                0.81388,                 1.0345,                0.80442,                0.61896,                0.66581,                0.32325,                 1.6413,                0.77861,                 1.0448,               0.005314,               0.005314,               0.005314
                    144,                 1.6337,                0.81737,                 1.0341,                0.80391,                0.61858,                0.66565,                0.32351,                 1.6407,                0.77808,                 1.0445,               0.005281,               0.005281,               0.005281
                    145,                 1.6339,                 0.8156,                 1.0378,                0.80415,                0.61823,                0.66556,                0.32366,                 1.6399,                0.77794,                  1.044,               0.005248,               0.005248,               0.005248
                    146,                 1.6338,                0.81584,                 1.0357,                0.80296,                0.61991,                0.66609,                  0.324,                 1.6391,                0.77723,                 1.0437,               0.005215,               0.005215,               0.005215
                    147,                 1.6317,                0.81405,                 1.0355,                 0.8032,                0.62023,                0.66633,                0.32438,                 1.6388,                0.77695,                 1.0433,               0.005182,               0.005182,               0.005182
                    148,                 1.6288,                0.81181,                 1.0326,                0.80475,                0.61966,                0.66638,                0.32461,                 1.6382,                0.77602,                 1.0431,               0.005149,               0.005149,               0.005149
                    149,                  1.628,                0.81227,                  1.032,                 0.8029,                0.62019,                0.66648,                0.32479,                 1.6377,                0.77555,                 1.0428,               0.005116,               0.005116,               0.005116
                    150,                 1.6337,                0.81374,                 1.0327,                0.80319,                 0.6202,                0.66701,                0.32507,                 1.6372,                0.77521,                 1.0425,               0.005083,               0.005083,               0.005083
                    151,                 1.6274,                0.81347,                 1.0322,                0.80333,                0.62038,                0.66762,                0.32565,                 1.6366,                 0.7748,                 1.0421,                0.00505,                0.00505,                0.00505
                    152,                 1.6237,                0.80951,                  1.033,                0.80459,                0.61987,                0.66771,                0.32606,                 1.6359,                0.77439,                 1.0418,               0.005017,               0.005017,               0.005017
                    153,                 1.6282,                0.81249,                 1.0326,                 0.8042,                0.62062,                0.66818,                0.32618,                 1.6355,                0.77395,                 1.0414,               0.004984,               0.004984,               0.004984
                    154,                 1.6321,                0.81319,                  1.033,                0.80486,                0.62138,                0.66812,                0.32625,                 1.6349,                0.77345,                 1.0412,               0.004951,               0.004951,               0.004951
                    155,                 1.6221,                0.80778,                 1.0282,                0.80595,                0.62118,                0.66852,                0.32635,                 1.6347,                0.77294,                 1.0409,               0.004918,               0.004918,               0.004918
